a,b,c
-2.102277,3.994736,-1.892460
-2.219697,3.988225,-1.768528
-2.334416,3.976861,-1.642444
-2.446294,3.960656,-1.514362
-2.555195,3.939631,-1.384436
-2.660986,3.913811,-1.252825
-2.763539,3.883228,-1.119690
-2.862728,3.847919,-0.985191
-2.958433,3.807927,-0.849494
-3.050537,3.763300,-0.712763
-3.138929,3.714093,-0.575164
-3.223500,3.660366,-0.436866
-3.304149,3.602185,-0.298036
-3.380776,3.539618,-0.158843
-3.453288,3.472744,-0.019456
-3.521598,3.401644,0.119954
-3.585622,3.326404,0.259218
-3.645282,3.247115,0.398166
-3.700505,3.163875,0.536630
-3.751225,3.076784,0.674441
-3.797379,2.985948,0.811431
-3.838912,2.891478,0.947433
-3.875772,2.793489,1.082283
-3.907916,2.692100,1.215815
-3.935303,2.587435,1.347868
-3.957901,2.479621,1.478279
-3.975682,2.368789,1.606893
-3.988624,2.255074,1.733550
-3.996712,2.138615,1.858097
-3.999936,2.019553,1.980383
-3.998291,1.898032,2.100259
-3.991781,1.774202,2.217579
-3.980412,1.648213,2.332200
-3.964200,1.520218,2.443982
-3.943162,1.390372,2.552790
-3.917325,1.258834,2.658491
-3.886721,1.125764,2.760957
-3.851387,0.991325,2.860062
-3.811365,0.855678,2.955686
-3.766704,0.718990,3.047714
-3.717459,0.581427,3.136032
-3.663691,0.443157,3.220533
-3.605462,0.304347,3.301115
-3.542847,0.165168,3.377679
-3.475919,0.025786,3.450132
-3.404761,-0.113627,3.518387
-3.329459,-0.252901,3.582360
-3.250104,-0.391868,3.641972
-3.166795,-0.530357,3.697152
-3.079631,-0.668201,3.747832
-2.988719,-0.805232,3.793952
-2.894170,-0.941284,3.835453
-2.796099,-1.076188,3.872287
-2.694624,-1.209784,3.904408
-2.589870,-1.341907,3.931777
-2.481964,-1.472397,3.954361
-2.371037,-1.601095,3.972132
-2.257225,-1.727844,3.985069
-2.140665,-1.852491,3.993156
-2.021500,-1.974883,3.996383
-1.899876,-2.094871,3.994747
-1.775938,-2.212310,3.988248
-1.649840,-2.327056,3.976896
-1.521733,-2.438971,3.960703
-1.391774,-2.547917,3.939691
-1.260121,-2.653762,3.913883
-1.126935,-2.756377,3.883312
-0.992377,-2.855638,3.848015
-0.856613,-2.951422,3.808035
-0.719804,-3.043615,3.763420
-0.582120,-3.132104,3.714224
-0.443728,-3.216781,3.660509
-0.304795,-3.297543,3.602338
-0.165491,-3.374292,3.539783
-0.025986,-3.446934,3.472920
0.113551,-3.515381,3.401830
0.252948,-3.579549,3.326601
0.392039,-3.639361,3.247322
0.530652,-3.694744,3.164092
0.668620,-3.745630,3.077010
0.805774,-3.791958,2.986184
0.941947,-3.833670,2.891723
1.076974,-3.870717,2.793743
1.210690,-3.903052,2.692362
1.342932,-3.930638,2.587706
1.473540,-3.953440,2.479900
1.602355,-3.971430,2.369075
1.729220,-3.984587,2.255367
1.853980,-3.992894,2.138915
1.976484,-3.996342,2.019859
2.096582,-3.994926,1.898344
2.214128,-3.988648,1.774520
2.328980,-3.977516,1.648537
2.440997,-3.961543,1.520546
2.550044,-3.940749,1.390705
2.655987,-3.915158,1.259171
2.758698,-3.884803,1.126105
2.858051,-3.849719,0.991668
2.953926,-3.809950,0.856025
3.046205,-3.765544,0.719339
3.134777,-3.716556,0.581779
3.219535,-3.663044,0.443509
3.300373,-3.605075,0.304701
3.377196,-3.542717,0.165521
